category,description,downloaded,follower_count,image_src,index,is_image_or_video,poster_name,save_location,tag_list,title,unique_id
travel,"This Costa Rica itinerary is the ultimate guide to spending two weeks in Costa Rica. Find out about visiting La Fortuna, Arenal, Monteverde, Naranjo, Corcovado National Park, Or… ",1,10k,https://i.pinimg.com/originals/30/93/cb/3093cb01d9de2d125fda8ba5e3e41946.jpg,10138,image,"Wanderlust Chloe ✈️ Travel guides, inspo and adventure travel ✈️",Local save in /data/travel,"Costa Rica Travel,Rio Celeste Costa Rica,Dream Vacations,Vacation Spots,Vacation Travel,Travel Pictures,Travel Photos,Fortuna Costa Rica,Costa Rica Pictures","14 Amazing Things To Do In Costa Rica | Volcanoes, Waterfalls, Wildlife And More",927c4658-cc3f-4b92-9b5c-70743d0c238d
diy-and-crafts,"This post may contain affiliate links, read our Disclosure Policy for more information. As an Amazon Associate I earn from qualifying purchases, thank you! Make some cute handpr… ",1,892k,https://i.pinimg.com/originals/ff/fe/38/fffe384f3ec18a0d87cb2d80cc8c1499.jpg,3156,image,Michelle {CraftyMorning.com},Local save in /data/diy-and-crafts,"Christmas Gifts For Parents,Christmas Decorations For Kids,Christmas Crafts For Toddlers,Preschool Christmas,Christmas Crafts For Gifts,Christmas Activities,Toddler Crafts,Kids Christmas,Christmas Feeling",Handprint Reindeer Ornaments - Crafty Morning,fa6e31a4-18c2-4eca-a6d8-e903eee2c2a4
finance,"Der #Vermögensaufbau mit #Dividenden ist bereits mit 1.000 Euro möglich. Ja genau! Investieren ist nicht nur für Reiche etwas, sondern jeder kann mit bescheidenden Mitteln start… ",1,3k,https://i.pinimg.com/originals/03/79/d1/0379d1df3ef5a5a492573c19205257db.jpg,5395,image,DIVDepot – Geld sparen & verdienen | Mindset | Dividend Investing,Local save in /data/finance,"Money Saving Challenge,Saving Money,Make Money Online,How To Make Money,Dividend Investing,Budget Planer,Discipline,Bulletins,Budgeting Finances",So startest du mit 1.000 Euro den Vermögensaufbau mit Dividenden - DIVDepot,71f72304-3708-45fb-8867-7c08995b10d2
finance,"If you love budgeting, make sure to give Dave Ramsey's 7 Baby Steps a try. Follow these steps to begin your debt snowball, build an emergency fund, invest and reach riches. I ca… ",1,26k,https://i.pinimg.com/originals/1e/9d/90/1e9d906e4e150e3b95187f3b76ea7c71.png,5494,image,"Living Low Key | Save Money, Make Money, & Frugal Living",Local save in /data/finance,"Financial Peace,Financial Tips,Saving Money Quotes,Total Money Makeover,Budgeting Finances,Money Management,Wealth Management,Personal Finance,Making Ideas",Dave Ramsey's 7 Baby Steps: What Are They And Will They Work For You,8fb2af68-543b-4639-8119-de33d28706ed
christmas,Here are the best DIY Christmas Centerpieces ideas perfect for your Christmas & holiday season home decor. From Christmas Vignettes to Table Centerpieces.,1,500k,https://i.pinimg.com/originals/aa/6d/0f/aa6d0f44d7c1c96b998cb9aa6c4446b8.png,2418,image,HikenDip,Local save in /data/christmas,"Farmhouse Christmas Decor,Rustic Christmas,Christmas Time,Vintage Christmas,Xmas,Primitive Christmas Crafts,Christmas Vignette,Indoor Christmas Decorations,Diy Christmas Ornaments",100 DIY Christmas Centerpieces You'll Love To Decorate Your Home With For The Christmas Season - Hike n Dip,da8745a6-5160-46c4-877d-181d50a729fd
beauty,"[PaidLink] It's made with clarifying black clay and useless sea mud-plus natural almond and avocado oils to help moisturize and soothe your skin, while absorbing excess oils. An… ",1,22,https://i.pinimg.com/originals/ff/09/71/ff097153a9d3fe3c9142c3cd7e9ed8d7.png,1611,image,Hair Accessories,Local save in /data/beauty,"Natural Beauty Tips,Health And Beauty Tips,Health Tips,Beauty Guide,Beauty Secrets,Natural Beauty Remedies,Skin Secrets,Natural Cures,Health Benefits","Over The Years, People Have Turn Into More Aware Of What's Inside Their Products And Have Begun T...",051e231c-7509-4379-9b9b-352883d63b8c
education,Tired of Google Classroom - need something a bit different? Try making your own Digital Interactive Classroom to give your students information and assignments. Easy to do with… ,1,9k,https://i.pinimg.com/originals/37/ae/9e/37ae9e2f387a2de13ab0577472637140.png,3813,image,Science of Curiosity,Local save in /data/education,"Google Classroom,Classroom Ideas,Flipped Classroom,Teaching Technology,Technology Integration,Medical Technology,Energy Technology,Technology Gadgets,Student Information",Fun Interactive Digital Classroom - Make your Own with Google Slides!,49f7dfe7-2e5a-403c-99a3-8f16ff4e7975
quotes,summcoco gives you inspiration for the women fashion trends you want. Thinking about a new look or lifestyle? This is your ultimate resource to get the hottest trends. 45 Top Li… ,1,306k,https://i.pinimg.com/originals/bb/c0/e6/bbc0e6a797079505f11ac12bcb0b8c66.jpg,7922,image,"Sumcoco | Decor Ideas, Hairstyles, Nails Fashion Advice",Local save in /data/quotes,"Life Quotes Love,Inspirational Quotes About Love,Mood Quotes,Motivational Quotes,Tears Quotes,Quotes About Sadness,Deep Quotes About Life,Quotes Quotes,Quote Life",45 Top Life Quotes School Did Not Teach You,a584581c-1b38-4731-a1cc-f36115ecf229
christmas,"Connecticut life and style blogger Lauren McBride shares a white and gold Christmas tablescape featuring a mix of faux greenery, metallics, and antique touches. #tablescape #hol… ",1,84k,https://i.pinimg.com/originals/e7/29/2f/e7292f9ae03d5b2d2eaf4ec9643377ae.jpg,1643,image,Lauren McBride,Local save in /data/christmas,"Christmas Dining Table,Christmas Table Settings,Farmhouse Christmas Decor,Rustic Christmas,Simple Christmas,Beautiful Christmas,Modern Christmas,Coastal Christmas,Christmas Mantles",White and Gold Christmas Tablescape - Lauren McBride,41be1bcd-1ead-4767-87d0-30c1036c6609
finance,"Buying your first car is a big step and brings added responsibilities. Are you prepared to handle it? Before buying your first car, do these 9 things first!",1,223,https://i.pinimg.com/originals/16/11/4d/16114d53dc0d5947cc8e74281bb77844.jpg,5091,image,Edwin | Cash The Checks | Find Your Perfect Side Hustle,Local save in /data/finance,"Paying Off Car Loan,Paying Off Mortgage Faster,Pay Off Mortgage Early,Mortgage Tips,Mortgage Payment,Mortgage Rates,Mortgage Companies,Investment Companies,Ways To Save Money",Buying Your First Car? Do These 9 Things First,43459535-64e9-48af-b1ab-26d4bb03e717
travel,"Are you traveling to Paris during the summer? Find out what to do in Paris, France during the summer. Fun summertime activities in Paris. Enjoy the incredible outdoors when trav… ",1,3k,https://i.pinimg.com/originals/6c/4c/90/6c4c90bba27ebf8c8bfe4c1acfb9f07a.jpg,9979,image,Petite in Paris,Local save in /data/travel,"Torre Eiffel Paris,Tour Eiffel,Picnic In Paris,Hello France,Voyage Europe,Destination Voyage,Beautiful Places To Travel,Travel Aesthetic,Paris Travel",Paris in the Summer. 10 fun things to do in Paris in the Summertime • Petite in Paris,2b2abc85-fc51-481f-8ae6-17681993da28
diy-and-crafts,This ghost craft is a super simple Halloween craft for preschoolers or toddlers using supplies you probably have on hand. Free ghost template included!,1,56k,https://i.pinimg.com/videos/thumbnails/originals/13/ab/8c/13ab8c6b80b96d46fa6abd9cbb9a5c9e.0000001.jpg,3032,video,Thriving Home,Local save in /data/diy-and-crafts,"Halloween Arts And Crafts,Halloween Crafts For Toddlers,Halloween Crafts For Kids,Simple Halloween Decorations,Halloween Craft Activities,Halloween Templates,Halloween Ghosts,Halloween Party,Cute Kids Crafts",Puffy Ghost Craft,208b07bc-e042-4e84-8855-97905f691848
mens-fashion,"It's safe to assume that most men have a couple pairs of jeans, some T-shirts, a sweatshirt or two, and maybe a few button-down shirts in their wardrobe. If you don't have those… ",1,383k,https://i.pinimg.com/originals/3a/e3/96/3ae396b278c99427fcdaaa2046ea26f8.jpg,6809,image,Suburban Men,Local save in /data/mens-fashion,"Business Casual Dresses,Business Casual Outfits,Mens Business Casual Jeans,Dress Casual,Sports Coat And Jeans,Casual Sport Coats,Mens Sport Coat,Stylish Men,Men Casual",It's Time to Ditch the Hoodie (23 Photos) - Suburban Men,f8ca698f-abfc-4b62-87dd-72a4814f9d63
